training_steps,agent_0,agent_1,agent_2
0,0.0065869754,0.0074971938,0.006806244
15,0.010028981,0.00940026,0.009509119
30,0.012895857,0.012481715,0.012636133
45,0.015035858,0.01237165,0.013003456
60,0.020197177,0.014816857,0.012931168
75,0.041459017,0.037870016,0.035641626
90,0.01873619,0.017609736,0.016622117
105,0.045271333,0.043667097,0.040650617
120,0.02439888,0.023551706,0.02117042
135,0.06930904,0.06902684,0.06351343
150,0.02702134,0.026351921,0.024566239
165,0.07212201,0.07132316,0.067787714
180,0.09920913,0.09767448,0.09053394
195,0.104466826,0.1011859,0.09592262
210,0.07926022,0.07861535,0.07585732
225,0.09315494,0.090206094,0.085935615
240,0.095196344,0.09238127,0.087679245
255,0.0824416,0.07976579,0.07580633
270,0.09599301,0.09321514,0.08941221
285,0.10738114,0.10305935,0.098192014
300,0.13003397,0.124906495,0.12065229
315,0.118708014,0.1164369,0.110682085
330,0.13362561,0.13108781,0.12676778
345,0.11830133,0.11629849,0.11078325
360,0.10522598,0.10277655,0.09917705
375,0.10434085,0.0990181,0.09553101
390,0.14366888,0.13969697,0.13482292
405,0.13489935,0.13107033,0.1270669
420,0.14981996,0.14420395,0.14061241
435,0.14126219,0.13689041,0.13410534
450,0.14583243,0.13946947,0.13656518
465,0.15825541,0.15219344,0.14877239
480,0.15964101,0.1540627,0.15092784
495,0.14006875,0.13299091,0.13004616
510,0.16425508,0.16044427,0.1572071
525,0.17028083,0.16389123,0.16240335
540,0.15190561,0.14636709,0.1460767
555,0.14157541,0.13118105,0.12940466
570,0.15187591,0.14596197,0.14428543
585,0.17721516,0.17040774,0.16892965
600,0.17368552,0.16415694,0.16435915
615,0.15887386,0.15269235,0.15076259
630,0.17832167,0.17520368,0.17039023
645,0.15535629,0.14454573,0.14282355
660,0.1740668,0.16809855,0.16788039
675,0.15864362,0.1508413,0.14867724
690,0.18106191,0.17546101,0.17317714
705,0.16246513,0.15620004,0.15525042
720,0.16595155,0.16527669,0.16460516
735,0.18799871,0.18046205,0.18021832
750,0.16709976,0.15226623,0.15282346
765,0.17324264,0.1634423,0.16290179
780,0.17834236,0.17277206,0.17177375
795,0.1620143,0.15511142,0.15388283
810,0.18024197,0.1751672,0.1742909
825,0.1737769,0.16272621,0.1643826
840,0.16924448,0.16271462,0.16301438
855,0.18547046,0.17755948,0.17555867
870,0.19570641,0.18681021,0.1857404
885,0.19121993,0.18518594,0.18671416
900,0.19699733,0.187202,0.1908578
915,0.18718475,0.17806645,0.17932841
