training_steps,loss
0,-0.2973370313644409
15,-0.2503168414036433
30,-0.5202640136082967
45,-0.6786583622296651
60,-0.6574910044670105
75,-0.6230428377787273
90,-0.6519675532976786
105,-0.4250882625579834
120,-0.08865155726671219
135,-0.13229427138964336
150,-0.10628207276264827
165,-0.7249263366063435
180,-0.23756017287572226
195,-0.13978711664676666
210,-0.20552761058012645
225,-0.22319812973340353
240,-0.11113706429799398
255,-0.16305184463659922
270,-0.19278567532698312
285,-0.20174723267555236
300,-0.14243701100349426
315,-0.17493629256884258
330,-0.2301367223262787
345,-0.18050711353619894
360,-0.188784529765447
375,-0.1725139021873474
390,-0.2523565530776978
405,-0.210359650850296
420,-0.28650035460789997
435,-0.23754350344340006
450,-0.26558183431625365
465,-0.15399047434329988
480,-0.23310349384943643
495,-0.22146631280581155
510,-0.19221589068571726
525,-0.21966431935628256
540,-0.26487766901652016
555,-0.2675071358680725
570,-0.1791720966498057
585,-0.2046902706225713
600,-0.2033407618602117
615,-0.25501657923062643
630,-0.286463063955307
645,-0.17144339581330617
660,-0.3417362113793691
675,-0.27687651515007017
690,-0.3599465052286784
705,-0.29091368516286215
720,-0.17856483260790507
735,-0.2578321576118469
750,-0.2930550456047058
765,-0.26450574994087217
780,-0.22664598524570465
795,-0.3230300823847453
810,-0.22142775754133862
825,-0.2704571982224782
840,-0.2810214420159658
855,-0.3452801525592804
870,-0.2852568606535594
885,-0.23196654717127482
900,-0.2392918070157369
915,-0.2596215565999349
930,-0.2344584713379542
945,-0.31559731960296633
960,-0.2579660673936208
975,-0.23027654389540356
990,-0.20746120115121205
1005,-0.2539266606171926
1020,-0.42525746623675026
1035,-0.2950923999150594
1050,-0.2218108226855596
1065,-0.3329591731230418
1080,-0.2702096919218699
1095,-0.352747509876887
1110,-0.31552448868751526
1125,-0.29197070399920144
1140,-0.25488247474034625
1155,-0.27231589357058206
1170,-0.29688427646954857
1185,-0.2133617917696635
1200,-0.20072872042655945
1215,-0.3127756893634796
1230,-0.235423876841863
1245,-0.24047583440939585
1260,-0.34513867298762
1275,-0.36524364550908406
1290,-0.34129605094591775
1305,-0.3271207630634308
1320,-0.3550939937432607
1335,-0.277626367410024
1350,-0.43112430572509763
1365,-0.24185249010721843
1380,-0.3887801011403402
1395,-0.3700266679128011
1410,-0.38122249245643614
1425,-0.31223240892092385
1440,-0.3783710479736328
1455,-1.005550479888916
1470,-0.4301104525725047
1485,-1.0431900103886922
1500,-0.9738150437672933
