time_steps,win_rate,episode_rewards
0,0.0,3.013698630136986
10168,0.71875,16.624999999999996
20516,0.8125,17.75
30177,0.6875,16.085616438356166
40105,0.78125,17.34417808219178
50292,0.84375,18.04109589041096
60473,0.78125,17.28082191780822
70454,0.875,18.52054794520548
80302,0.90625,18.863013698630137
90748,0.96875,19.63527397260274
100326,0.84375,18.15582191780822
110482,0.90625,18.89554794520548
120684,0.90625,18.89554794520548
130067,0.9375,19.207191780821915
140184,0.9375,19.20719178082192
150263,0.9375,19.25
160103,0.96875,19.625
170639,0.96875,19.63527397260274
180362,0.9375,19.227739726027398
190682,1.0,20.0
200222,1.0,20.0
